ASN,Organization,CO2 Emissions
24864,R-IT-AS Raiffeisen Informatik GmbH & Co KG,108.12641154705157
214365,HypefoxNet Hypefox Ltd,108.31666666666668
215727,ASNSWORLDWIDE NS Worldwide SA,108.46408454927042
49920,FLOWBIRD FLOWBIRD SAS,108.8202887142857
215562,APALM Andreas Palm,108.83666666666667
198378,REVERZE-NETWORKS Michel Stam,108.83666666666667
28267,LANTEC COMUNICACAO MULTIMIDIA LTDA,108.97130963096308
34318,MINNIBERGER-AS ASAK Kabelmedien GmbH,109.14169216921692
203833,AT-FIRSTCOLO firstcolo GmbH,109.18138071269043
268624,Gamers Club Ltda,109.38625075004998
53062,ALT|GGNET TELECOM BACKBONE,109.46489321001789
29169,GANDI-AS GANDI SAS,109.46744313699342
263880,WANTEL TECNOLOGIA LTDA. EPP,109.88453942011456
265269,MEGA TELE INFORMATICA,109.9025
213738,HOSTEG HOSTEG HOSPEDAGEM E SERVIDORES LTDA,109.94627431371568
14840,BR.Digital Provider,110.00940851778178
262355,VSX Networks,110.13197530864196
60823,IFORCE IForce IT GmbH,110.32458333333332
263998,Machado & Mascarelo Sonorizacao Ltda,110.35761904761904
210356,BattleHost KAUA REIS DA SILVA trading as BattleHost,110.395
28300,Speed Servicos de Internet Ltda,110.39796552935415
52356,R&H International Telecom Services SA.,110.49424147471582
269194,ST1 INTERNET,110.63001847742235
25428,INFOCO-COLRUYT-AS Colruyt Group NV,110.83914768587523
329383,NetOne-Data,111.0
37287,ZAIN-ZAMBIA,111.0
329444,BEELINE-TELECOMS-LIMITED,111.0
328570,Fibrecom-Limited,111.0
327904,ZICTA,111.0
329105,Lusaka-IXP-MGT,111.0
328427,AirLink-Broadband-AS,111.0
328646,Infratel-Corporation,111.0
328817,CITYCHannel-AS,111.0
328194,Copperbelt-Energy-Corporation,111.0
328420,Bank-of-Zambia-vAS,111.0
328007,-Reserved AS-,111.0
37532,ZAMREN,111.0
37379,IWAYAFRICA-ZAMBIA,111.0
36959,afczas,111.0
37154,ZAMTEL,111.0
36962,MTNZ-AS,111.0
328665,ZRA-AS,111.0
8236,DNA-CE DNA Oyj,111.00479747974798
28126,BRISANET SERVICOS DE TELECOMUNICACOES S.A,111.10829357948295
8818,Tusass A/S,111.11
5420,KEMNET Kemira Oyj,111.1625
201168,YMLP-NETWORK YMLP BVBA,111.46578
3303,SWISSCOM Swisscom (Schweiz) AG,111.70338502438408
28189,JR & JS ENGENHARIA E COMERCIO LTDA,111.70515151515151
267507,SRX TECNOLOGIA DA INFORMACAO LTDA,111.70543469630806
214255,ASN-Venn Venn SA,111.79799999999999
214302,AS-LOOMIS Loomis AB,111.91340272217774
265950,HLP Mobile and Worldwide Tracking Ltda,112.03285714285714
28329,Megatelecom Telecomunicacoes Ltda,112.10136020846083
196755,NET-3STARS-AS Sewan Belgium SA,112.10209593013566
57265,STORYBEL STORYBEL SNC,112.14296296296295
141177,VIANET-AS-AP VIA NET COMMUNICATION LTD,112.26594529726486
3243,MEO-RESIDENCIAL MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,112.28659415941594
215446,SPTELECOM Sousa Pinheiro Telecomunicacoes,112.29
59690,CML-PT Camara Municipal de Lisboa,112.29
43064,TEIXEIRAEDUARTE-AS Teixeira Duarte - Engenharia e Construcoes,112.29
41708,CREDIBOM Banco Credibom S.A.,112.29
212954,LusoAloja LUSOALOJA SERVICOS DE ALOJAMENTO WEB,112.29
212073,NETUREZA Netureza,112.29
204094,I4W I4W - Web Solutions,112.29
20879,DIGI-PT DIGI ROMANIA S.A.,112.29
42863,MEO-MOVEL MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,112.29
15525,MEO-EMPRESAS MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,112.29
210300,FIDELIDADE FIDELIDADE COMPANHIA DE SEGUROS SA,112.29
210221,ASNEW HOVIONE FARMACIENCIA,112.29
205558,anacom Autoridade Nacional de Comunicacoes (Anacom),112.29
44055,GOCONTACT_ES Gotelecom,112.29
33813,COFIDIS-PT-AS COFIDIS,112.29
12926,ArTelecomPT AR TELECOM - Acessos e Redes de Telecomunicacoes,112.29
206316,AS-XERVERS Xervers,112.29
41159,DIRECCAO-GERAL INSTITUTO DA MOBILIDADE E DOS TRANSPORTES TERRESTRES I.P,112.29
34873,IGIF-AS ACSS - Administracao Central do Sistema de Saude,112.29
31497,CMVM-PT-AS Comissao do Mercado de Valores Mobiliarios,112.29
9118,Novo Banco,112.29
6773,SIBS Forward Payment Solutions,112.29
202277,pt-sge-asn SGE - Secretaria Geral da Economia,112.29
47784,INSTINF Entidade de Servicos Partilhados da Administracao Publica,112.29
201879,PT-VF VISUALFORMA - Tecnologias de Informacao S.A.,112.29
203491,ESTORIL Estoril Sol Digital,112.29
208457,CLOUD-Telecom CLOUD Telecom Lda,112.29
43729,DECIX-LIS-AS DE-CIX Management GmbH,112.29
30129,ISC-F-AS,112.29
202341,MYCLOUD-PT MY CLOUD,112.29
207731,DiamWall NXSR,112.29
207002,COPAHOST Gallas Carvalho Internet Unipessoal Lda.,112.29
208609,TEMNET Pedro Pita Mendes Vaz,112.29
50666,LIGAT LigaT Telecom Sociedade Unipessoal LDA,112.29
210374,FINALSPACE Pedro Direito,112.29
59528,EGP EG PORTUGAL,112.29
13156,AS13156 NOWO COMMUNICATIONS,112.29
211680,AS-BITSIGHT NSEC - Sistemas Informaticos,112.29
33876,Flesk-AS DMNS - DOMINIOS,112.29
201449,DAB-AS Digital Absolut Business - Servidor,112.29
199016,VISUALFORMA-AS VISUALFORMA TECNOLOGIAS DE INFORMACAO,112.29
44785,RBT-AS Robot Telecomunicacoes Projectos e Servicos Lda,112.29
43990,Europ-Assistance Europ Assistance - Companhia Portuguesa de Seguros,112.29
41962,mgoncalves MIGUEL GONCALVES UNIPESSOAL LDA,112.29
31413,UNICER-AS Super Bock Bebidas S.A.,112.29
31401,SICAMSERV Credito Agricola Servicos - Centro de Servicos Partilhados,112.29
29673,IMPRENSANACIONAL-PT-AS Imprensa Nacional-Casa da Moeda,112.29
8609,Universidade Catolica Portuguesa,112.29
213277,ALOJARPT ALMOUROLTEC SERVICOS DE INFORMATICA E INTERNET LDA,112.29
208277,CIBERCONCEITO CiberConceito Informatica e Servicos Unipessoal,112.29
35822,CEGER-AS CEGER,112.29
201523,EDP-AS EDP S.A.,112.29
13200,BANCOBPI Banco BPI SA,112.29
13134,Instituto de Informatica,112.29
12527,MILLENNIUMBCP-AS Millennium BCP-Prestacao de Servicos ACE,112.29
1897,EUNETPT NOS COMUNICACOES,112.29
199993,DNSPT Associacao DNS.PT,112.29
199155,REDE-MEC Direcao Geral de Estatisticas da Educacao e Ciencia,112.29
57350,EUROPEAN-MARITIME-SAFETY-AGENCY-AS European Maritime Safety Agency,112.29
35038,INESCTEC INESC TEC - INSTITUTO DE ENGENHARIA DE SISTEMAS E COMPUTADORES,112.29
12833,GigaPix Fundacao para a Ciencia e a Tecnologia,112.29
5516,INESC INESC - Instituto de Engenharia de Sistemas e Computadores PCUP,112.29
15457,NOS_MADEIRA NOS Madeira Comunicacoes,112.29
1930,RCCN Fundacao para a Ciencia e a Tecnologia,112.29
12353,VODAFONE-PT Vodafone Portugal - Communicacoes Pessoais S.A.,112.29
202170,DSTELECOM-AS DSTELECOM,112.29
201782,makeitsimple Make It Simple Consultoria Informatica Lda,112.29
50293,INTERFIBER-PT Interfiber Networks LDA,112.29
49941,EUROTUX Eurotux Informatica SA,112.29
47202,Lazer LAZER TELECOMUNICACOES S.A.,112.29
29615,PORTODIGITAL-AS Associacao Porto Digital,112.29
29003,REFERTELECOM-AS IP TELECOM,112.29
12305,NORTENET G9,112.29
207112,REN REN - Rede Energeticas Nacionais,112.29
214213,START START - Sines Transatlantic Renewable & Technology Campus,112.29
25005,FINIBANCO-AS Montepio Investimento S.A.,112.29
207969,POINTS Fundacao para a Ciencia e a Tecnologia,112.29
25253,CGDNET CAIXA GERAL DE DEPOSITOS,112.29
201170,ANA-AS ANA - Aeroportos de Portugal,112.29
200942,NANIUM-AS ATEP - Amkor Technology Portugal,112.29
200706,ONEIT AXIANSEU - DIGITAL SOLUTIONS,112.29
200655,GROUPM-FR-AS WPP Group USA,112.29
199130,FOURSPIRO 4Spiro - Sociedade de Consultoria,112.29
25060,INE-AS Instituto Nacional de Estatistica,112.29
64472,rsil RSIL,112.29
59787,WEBHS WebSP - Comercio e Prestacao de Servicos Informaticos,112.29
51512,digitalsign DIGITALSIGN - CERTIFICADORA DIGITAL S.A.,112.29
51171,VALICOM-AS MINHOCOM,112.29
50271,MESP MOTA-ENGIL GLOBAL-SERVICOS PARTILHADOS ADMINISTRATIVOS E TECNICOS,112.29
197802,UTIS-AS Secretaria-Geral Ministerio da Administracao Interna,112.29
43887,MJ-PT-AS IGFEJ INST GESTAO FINANCEIRA E EQUIPAMENTOS DA JUSTICA IP,112.29
43652,AS100LIMITE EDGOO NETWORKS UNIPESSOAL LDA,112.29
43643,TAP-AS Transportes Aereos Portugueses SA,112.29
42580,CABOTVA NOS ACORES COMUNICACOES,112.29
41345,VISABEIRA-DIGITAL-ASN Visabeira Digital - Sistemas de Informacao e Multimedia SA,112.29
38993,RENOVA-PT-AS Renova-Fabrica de Papel do Almonda S.A.,112.29
28672,BPNNET-AS BANCO BIC PORTUGUES,112.29
47310,CIMAL CIMAL - Comunidade Intermunicipal do Alentejo Litoral,112.29
35757,GOCONTACT_PT Gotelecom,112.29
28998,MONTEPIO-GERAL-PT-AS Caixa Economica Montepio Geral,112.29
21574,Century Telecom Ltda,112.35508771929825
262428,LINK 10,112.55466666666668
1916,Rede Nacional de Ensino e Pesquisa,112.55466666666668
199793,BANKESKHATA Bank Eskhata OJSC,112.79
42713,INTERCOM INTERCOM LTD,112.79
34557,Tacom-AS Tacom LLC,112.79
215814,AS_SINAMONET Sinamo 2017 LLC,112.79
44961,"cbt Open Joint-Stock Company ""Commerce Bank of Tajikistan""",112.79
214582,"FMFBT CJSC ""INVESTMENT CREDIT BANK",112.79
196854,"AS-ISATELTJ LLC ""Isatel"" Tajikistan",112.79
57443,OSHNOGROUP-AS Oshno group LLC,112.79
49472,EASTERA-AS Eastera Ltd.,112.79
48184,ANDOZ-AS Tax Committee under the Government of the Republic of Tajikistan,112.79
43030,TARENA-AS Tajik Academician Research and Educational Network Association,112.79
44027,SPITAMEN_ALEXANDER_INTERNET-AS Spitamen Alexander Internet LLC.,112.79
48887,SOMONCOM-AS CJSC INDIGO TAJIKISTAN,112.79
60101,DCB-AS Dushanbe City Bank CJSC,112.79
210053,humo-as CJSC MDO Humo,112.79
208592,"AS-AVESTONET LLC ""NET SOLUTIONS""",112.79
8847,"TTL-AS CJSC ""Telecomm Technology""",112.79
47139,INDIGO-TAJIKISTAN-AS CJSC INDIGO TAJIKISTAN,112.79
51346,"TOJIKTELECOM-AS Opened Joint Stock Company ""Tojiktelecom""",112.79
199303,spb-tj CJSC Spitamen Bank,112.79
211203,"Amonatbonk-AS State unitary enterprise ""Savings bank of the Republic of Tajikistan ""Amonatbonk""""",112.79
214157,customstj Customs service under the Government of the Republic of Tajikistan,112.79
49945,Alif-as OJSC Alif Bank,112.79
43077,International-bank-of-Tajikistan-AS CJSC International Bank of Tajikistan,112.79
6758,AS6758 Monaco Telecom S.A.,112.81298770816812
61568,ALOO TELECOM - FSF TECNOLOGIA SA,113.04616335595829
28598,DB3 SERVICOS DE TELECOMUNICACOES S.A,113.04714703787269
6696,VERIXI VERIXI SA,113.14453543457043
59890,Kabel-TV-Lampert Kabel-TV Lampert GmbH & Co KG,113.16117647058825
203518,KTV-TERNBERG-1 Kabel-TV Ternberg BetriebsGmbH,113.447
216106,JUSTFIBERNET JustFiberNet GmbH,113.485
200605,Alexander-Samoylyk Alexander Samoylyk,113.485
7738,V tal,113.59261687573375
52777,BR27 Servicos de Tecnologia Ltda.,113.59296296296294
28186,ITS TELECOMUNICACOES LTDA,113.59330907326539
60311,ONEFM 1.FM AG,113.69614480724034
3412,CREDITSUISSEGROUP-AS Credit Suisse Group,113.7
269656,RK Telecom Provedor Internet LTDA,113.88066666666666
198792,DSTORAGE DSTORAGE s.a.s.,113.89000000000001
49115,EMAX_AS1 E-MAX INTERNET & IT s.r.o.,114.12166666666664
38565,NCELL-AS-NP Ncell Pvt. Ltd.,114.23030432318923
270814,ZAAZ PROVEDOR DE INTERNET E TELECOMUNICACOES LTDA,114.24581949497359
262875,IP AMERICA TELECOM LTDA,114.33469000000001
22381,Megatelecom Telecomunicacoes Ltda,114.53723793019721
268468,MXCONECT SERVICOS DE COMUNICACAO LTDA,114.89083333333332
49935,SmartEye SmartEye B.V,115.13223238838059
209652,tzepesh LUNGU Cristian,115.17399999999999
213295,OPENTEL Arben Smani trading as OPENTEL,115.17833333333333
41051,FREETRANSIT Openfactory GmbH,115.2375
53550,AS53550,115.55751312696906
44803,WEBDOCK-AS Webdock.io ApS,115.5633991699585
263444,Open X Tecnologia Ltda,115.95272727272726
266444,3L CLOUD INTERNET SERVICES LTDA - EPP,115.95272727272727
28666,HOSTLOCATION LTDA,116.12750000000001
53007,Volvo do Brasil Veiculos Ltda.,116.23963603639636
53180,INFORTEL COMUNICACOES LTDA,116.25320159024999
268707,4W NET ES TELECOMUNICACOES LTDA,116.28128205128203
35328,DSIDATA DSI DATA,116.32463326833658
28022,CRISP S.A.,116.43333333333332
265264,ALHAMBRA EIDOS DO BRASIL SERVICOS E SISTEMAS DE CO,116.55952380952381
272786,X99 INTERNET,116.55996880848409
265303,BRASIL TECPAR | AMIGO | AVATO,116.56130398338826
3330,PROFINET-AT eww ag,116.69685041176471
200651,FlokiNET FlokiNET ehf,116.95185844246726
9186,ONI ONITELECOM - INFOCOMUNICACOES,117.12714285714286
8540,AMANET-AS AMA netwoRX GmbH,117.17909318219706
52925,Ascenty Data Centers e Telecomunicacoes SA,117.32231266294944
199541,EUROCONTROL-AS EUROCONTROL,117.32320271891241
267613,ELETRONET S.A.,117.4642182550732
60853,SOGETI CAPGEMINI BELGIUM NV,117.58
62392,FOSDEM FOSDEM VZW,117.58
203260,exmar Exmar nv,117.58
207290,MSC-Belgium Mediterranean Shipping Company Belgium N.V.,117.58
212223,BUYWAY-BE-AS Buy Way Personal Finance SA trading as BUY WAY SERVICES GEIE,117.58
214445,N-Research The North Atlantic Treaty Organization,117.58
28707,STUART-AS Destiny N.V,117.58
39436,Amonis Amonis OFP,117.58
41471,NETLOG Massive Media Match NV,117.58
50998,UGR-AS Destiny N.V,117.58
60650,ITTECTEO Nethys S.A,117.58
206254,GIG GIG.tech N.V.,117.58
207730,ASsappiAT Sappi Europe S.A.,117.58
47630,be-televoip TeleVoIP bv,117.58
33864,WDC-AS Wallonie Data Center SA,117.58
203225,COMPUTERLAND-AS Societe Liegeoise de Micro Informatique,117.58
51462,RTL-BELGIUM-SA-AS RTL Belgium SA,117.58
35084,Euroclear Euroclear SA,117.58
35733,EURID EURid vzw,117.58
199942,CHEOPS Cheops Technology NV,117.58
59889,BUSINESSCONNECT-BELGIUM Today Concepts B.V.,117.58
208725,DEVRANDOM Devrandom.be BV,117.58
42018,HOSTBASKET-BACKBONE Telenet BV,117.58
212241,threefold TF Tech NV,117.58
35219,VERIXI-BELGIUM VERIXI SA,117.58
35701,BCH-AS Bart Champagne,117.58
44140,WINLIN Winlin BVBA,117.58
47346,interfone Interfone Belgium SRL,117.58
64478,SKSGroup Fabien Schenkels,117.58
206883,BRUSSELSEXPO-AS Brussels Expo Association,117.58
206960,NETCSA NET COMPUTER GROUP S.A.,117.58
209649,AUTOCONFIG Alain Crispiels trading as AutoConfig,117.58
211079,ESI-INFORMATIQUE-AS E.S.I. Informatique S.P.R.L.,117.58
211106,ETNIC-AS L'Entreprise Publique des Technologies Numeriques de l'Information et de la Communication de la Communaute Francaise,117.58
12763,Honda Motor Europe Logistics NV,117.58
29595,WEngage WEngage N.V.,117.58
31154,TMME-AS Toyota Motor Europe SA,117.58
39804,VDAB Vlaamse Dienst voor Arbeidsbemiddelling en Beroepsopleiding,117.58
41991,BALOISE-AS Baloise Belgium NV,117.58
200869,GAMING1 Techno1 SRL,117.58
48192,ECS ECS corporate NV,117.58
50906,LUCIAD Luciad NV,117.58
206562,NXTBE Telenet BV,117.58
208620,DELEN Delen Private Bank NV,117.58
208655,BANKJVANBREDA-BE Bank J. Van Breda & Co NV,117.58
204120,COLIBRI-CONSULTING-AS Colibri Consulting B.V.B.A.,117.58
132399,ATICLOUD-AP SITA Cloud APAC,117.58
31612,Agfa-AS Agfa Gevaert NV,117.58
62098,Espix Espix Network SPRL,117.58
212526,freedelity Freedelity SA,117.58
35627,PHYXIA Tom Laermans,117.58
35660,EASI-AS SA EASI,117.58
200353,ASKENG Opgroeien regie,117.58
202598,SopraSteriaBE Sopra Steria Belgium SA,117.58
205401,IBA-AS Ion Beam Applications SA,117.58
210017,DCHasselt STEL bvba,117.58
211601,CloudPOS Syntax Bvba,117.58
215694,AmptecNtwrx-as Amptec B.V.,117.58
21474,SD-WORX SD Worx Sociaal Secretariaat VZW,117.58
16194,RealDolmen Inetum Belgium NV,117.58
50857,MACTELECOM-AS Citymesh Integrator NV,117.58
205561,ASN-FLUVIUS-IT Fluvius System Operator CV,117.58
206458,VP Het Vlaams Parlement,117.58
208479,CONNECTIS Connectis S.A.,117.58
211304,SMC-BVBA SECURITY MONITORING CENTRE BVBA,117.58
214326,PERGAUD_Erwan PERGAUD Erwan,117.58
30961,OPENMINDS-AS Combell NV,117.58
62437,AS-UNIXSOLUTIONS2 Unix-Solutions BV,117.58
5406,BNIX BELNET,117.58
35137,BELGIUMIX Localitel bvba,117.58
51796,NEXPERTEAM nexperteam bv,117.58
35001,MYOWN-AS MyOwn sprl,117.58
39842,CFE COMPAGNIE D'ENTREPRISES CFE S.A.,117.58
207750,Erbacom Erbacom bvba,117.58
214545,INTERCARE INTERCARE NV,117.58
21239,DNS-Belgium DNS-Belgium VZW,117.58
209704,nmbs-sncb NV OR NATIONALE MAATSCHAPPIJ DER BELGISCHE SPOORWEGEN,117.58
29529,iTecom-ASN iTecom bv,117.58
28988,FLUXYS-AS Fluxys Belgium sa,117.58
202830,AS_KBCGROUP_DCSK KBC GLOBAL SERVICES NV,117.58
60436,AS_KBCGROUP_DCBE KBC GLOBAL SERVICES NV,117.58
211268,Smartbit Smartbit CommV,117.58
47861,DIGILEUVEN Peter E. J. Durieux,117.58
28747,EASYHOST-COLO-AS Easyhost BVBA,117.58
214139,PRIVATECOFFEE Private.coffee- Verein zur Forderung von Privatsphare und digitaler Souveranitat,117.58
29533,FreeBIX Bart Champagne,117.58
201189,IRC IRC Engineering NV,117.58
58123,NGCOMMUNICATIONS NG Communications BV,117.58
208792,CoreICT Core ICT N.V.,117.58
204951,ubicum Ubicum BVBA,117.58
206665,netrik BOLT BVBA,117.58
208396,Unilin-BE-AS Mohawk International Services PLC,117.58
207467,AS-BKM Orange Belgium SA,117.58
47688,FASTIC-AS Localitel bvba,117.58
59943,LEVEL27-AS Level 27 BVBA,117.58
209725,FASTFIBER Localitel bvba,117.58
212923,gr-jolimont ASBL CHU Helora,117.58
206235,stowGroup stow International nv,117.58
210088,be-securitas-technology Securitas N.V.,117.58
201984,ESOLUTIONS-AS E-Solutions BV,117.58
202688,spotit SpotIT BVBA,117.58
204182,AWV-TELEMATICA Ministeries van de Vlaamse Gemeenschap,117.58
205583,PC-YELLOW PC Yellow BVBA,117.58
206255,E4T Effortel Technologies S.A.,117.58
206537,FIT-IT-BE Fit IT NV,117.58
207664,ascoo-it-solutions Ascoo-ITS BV,117.58
209550,EEAS European External Action Service,117.58
213130,STOREVER M-Cube Belgium,117.58
201859,NEW-AS Ministeries van de Vlaamse Gemeenschap,117.58
216471,DEVOUT Devout BV,117.58
35056,FORTISAG-AS AG Insurance N.V.,117.58
197429,NUANINTL-AS Cerence B.V.,117.58
200585,psa-be-asn1 PSA Antwerp NV,117.58
201887,SAVACOAS SAVACO NV,117.58
202713,AS_BAMBE Stadsbader Contractors BV,117.58
204959,ONTEX Ontex Group NV,117.58
208270,Synamedia-Belgium Synamedia Vividtec Europe BVBA,117.58
208416,LCL-AS LCL BELGIUM NV,117.58
210444,TVH TVH Parts Holding NV,117.58
25194,GLAVERBEL-AS AGC Glass Europe,117.58
201338,DAMOVO-BE DAMOVO BELGIUM SA,117.58
201205,ASN-FLUVIUS-SP Fluvius System Operator CV,117.58
201050,QBONE-NET S103 BVBA,117.58
12942,NRB-AS Network Research Belgium S.A.,117.58
16294,DSG-EMEA Descartes Systems (Belgium) NV,117.58
19545,SITA-NGDC-ATL,117.58
20650,IPNEXIA-AS IP NEXIA N.V.,117.58
31241,ASP-BE-AS ASP SA,117.58
31511,B-RAIL-BE-AS Infrabel NV,117.58
35593,UNIWEB-AS UniWeb bvba,117.58
39628,FIRSTLINK-AS Cu.be Solutions B.V.,117.58
44312,MAS-ALL2ALL Moving Art Studio ASBL,117.58
48260,TELEWEB TELEWEB bvba,117.58
51006,ANTDC Antwerp DC bvba,117.58
51696,ARCADIZ Arcadiz Telecom NV,117.58
56675,OAC O.A.C. bvba,117.58
57225,florisvdk Floris van der Krieken,117.58
57933,IRISnet IRISnet SCRL,117.58
60780,ARTILIUM-AS Circles MVNE International B.V.,117.58
61023,Worldcall-AS WORLDCALL TELECOM BV,117.58
62383,LDS-AS Lambrechts Data Services VOF,117.58
196987,RealDolmen-DC-AS Inetum Belgium NV,117.58
198847,EXXOSS-AS EXXOSS SPRL,117.58
200884,EFFIX-BE Effix Holding BV,117.58
213818,AS702 TESSENDERLO GROUP PLC,117.58
199998,DESTINY-SWEDEN Destiny N.V,117.58
58122,NORTHGATEARINSO-EU NorthgateArinso Belgium BV,117.58
213160,EUCOUNCIL Council of the EU,117.58
21489,SHAPE-AS The North Atlantic Treaty Organization,117.58
211136,CERT-EU CERT-EU,117.58
5488,Belgacom Proximus NV,117.58
3304,SCARLET Proximus NV,117.58
8221,ISABEL ISABEL N.V.,117.58
21373,NBB-AS Banque Nationale de Belgique,117.58
25024,Deceuninck-Plastics Deceuninck NV,117.58
25136,PORTIMA-AS Portima,117.58
28704,Belgacom-AS Proximus NV,117.58
206677,Videohouse EMG Belgium NV,117.58
41035,CPH-AS Banque CPH SC,117.58
47780,CEBEO-BE01 Cebeo NV,117.58
49333,ROULARTA-MEDIA-GROUP-AS Roularta Media Group SA,117.58
198664,SYSTEMAT_DIGITAL_HUB SPIE ICS Cloud Solutions SA,117.58
199756,DPWORLDBE DP World Antwerp Holding NV,117.58
200133,CHU-AS HUmani Society,117.58
200911,Essers-AS H. Essers en Zonen International Transport N.V.,117.58
202495,JDN Jan De Nul Dredging NV,117.58
205409,be-confbouw Embuild VZW,117.58
207232,BE-CHIREC-D CHIREC asbl,117.58
42851,ELIABE-AS Elia Asset N.V,117.58
25450,AS-TBEU Toyota Boshoku Europe N.V.,117.58
51466,Bridgestone-Europe-AS Bridgestone Europe NV,117.58
34144,EUSIP-RACK66 EUSIP bvba,117.58
9208,WIN WIN S.A.,117.58
49964,TORNADO TORNADO TELECOM S.R.L.,117.58
198912,SITA-SPC-CLOUD-FRA Societe Internationale de Telecommunications Aeronautiques,117.58
50675,DSTNY-FINLAND Destiny N.V,117.58
15383,Paradigm,117.58
16326,SMALS-MVM SmalS vzw,117.58
49677,MAEHDROS-AS MAEHDROS S.A.,117.58
49046,VRT-AS De Vlaamse Radio- en Televisieomroeporganisatie NV,117.58
62058,RTBF ETSPUBLI RADIO-TELEVISION BELGE DE LA COMMUNAUTE FRANCAISE,117.58
198559,AS-BNIX BELNET,117.58
25344,TECHNOFUTUR-AS Technofutur TIC ASBL,117.58
209226,chu-tivoli Centre hospitalier universitaire de Tivoli - Institut medical des Mutualites socialistes,117.58
5432,PROXIMUS-ISP-AS Proximus NV,117.58
207562,ZOLBIZZ ZOLBIZZ vzw,117.58
56837,TIGRON-AS Tigron bv,117.58
44806,KINAMO-BACKBONE Kinamo N.V.,117.58
205476,SECURELINK-AS Orange Cyberdefense Belgium nv,117.58
213345,RRN service administratif a comptabilite autonome charge de la gestion des cartes d identite et du registre national,117.58
213331,BeMinDef Belgian Ministry of Defence,117.58
210358,imec IMEC (Interuniversitair Micro-Electronica Centrum) VZW,117.58
210227,jessazh Jessa Ziekenhuis vzw,117.58
48075,SWIFTASN S.W.I.F.T. SC,117.58
6848,TELENET-AS Telenet BV,117.58402660620814
42160,LCPDCO DC STAR nv,117.58466526673665
203148,XENIUS Xenius BVBA,117.60714735736786
39905,ACTITO ACTITO S.A.,117.64064846757661
12508,AS12508 Rainside s.r.o.,117.648
31127,SATRO SATRO s.r.o.,117.64870529017634
48638,CRONOS Cronos NV,117.67973699999997
266583,TELXE DO BRASIL TELECOMUNICACOES LTDA,117.6887569717574
41437,KNAPP-AS KNAPP AG,117.715
25056,SALOMON-AT-AS SSI Schaefer IT Solutions GmbH,117.715
201004,GlobalTT-AS Global Telephone & Telecommunication S.A. (GT&T),117.72199190040499
62416,PTServidor SAMPLING LINE-SERVICOS E INTERNET,117.7677777777778
5626,ONI ONITELECOM - INFOCOMUNICACOES,117.93107600000002
265038,TELFO SERVICO DE TELECOMUNICACOES LTDA,118.48650862998711
12930,CARDCOMPLETE-AS card complete Service Bank AG,118.5390465
13226,CYBERNET CYBERNET SA,118.71884
16735,ALGAR TELECOM SA,118.78340621736328
263077,RazaoInfo Internet Ltda,118.78340621736328
28358,INTERTELCO TELECOMUNICACOES MULTIMIDIA LTDA,118.78366568328416
53240,Net Onze Provedor de Acesso a Internet Eireli,118.7849636098981
46346,ORANGEFIN-VENTURES-01,119.00248599999999
28110,NAVEGALO S.A.,119.0818032277054
39421,SAPINET-AS Sapinet SAS,119.17186049353911
8368,BENESOL-BACKBONE Destiny N.V,119.22924554998409
52173,MAKONIX Sia Nano IT,119.4264206420642
52551,SAMM Sociedade de Atividades em Multimidia LTDA,119.55177777777773
35834,CCP CCP ehf.,119.61
39384,RACKFIBER Dream Fusion - IT Services,119.649134193362
23106,AMERICAN TOWER DO BRASIL-COMUNICACAO MULTIMIDIA LT,119.90611012966234
203554,LVM-FR Louis Vuitton Malletier SA,119.932424
47957,ING-AS Worldline IGSA SA,119.94627136111241
48408,LOCALITEL-AS Localitel bvba,119.96130744709033
134244,OCL-AS-AP Orca Communications Ltd,120.11
38437,WIC-AS-NZ Wicked Networks,120.11
139272,EIT-AS-AP EASTERN INSTITUTE OF TECHNOLOGY LIMITED,120.11
135431,EIT-AS-AP EASTERN INSTITUTE OF TECHNOLOGY LIMITED,120.11
135288,AUCKLANDMUSEUM-AS-AP Auckland Museum Trust Board,120.11
133928,UNITEC-NZ Unitec New Zealand Limited,120.11
133857,CALLAGHAN-INNOVATION-AS-AP Callaghan Innovation,120.11
132264,CALLAGHAN-INNOVATION-AS-AP Callaghan Innovation,120.11
55885,ISP-NU No. 1 Commercial Center,120.11
131187,ECSN-AS-AP Teritary Education Commission,120.11
134988,GTL-AS-AP Gateway Teleport Ltd.,120.11
55702,EIT-AS-AP EASTERN INSTITUTE OF TECHNOLOGY LIMITED,120.11
55524,TOI-AS-AP Toi Ohomai Institute of Technology,120.11
45787,WHITIREIA-AC-AS-AP Whitireia Community Polytechnic,120.11
45131,REANNZ-OFFICE REANNZ Head Office,120.11
38906,OTAGOPOLY-AS-NZ-AP Otago Polytechnic.,120.11
38626,ESR-NATIONAL-AS-AP ESR,120.11
38473,AGRESEARCH-AS Agricultural Research CRI,120.11
38319,LINCOLN-UNIVERSITY-NZ Lincoln University,120.11
38305,OTAGO-UNIVERSITY-AS-NZ-AP The University of Otago,120.11
10200,TDL2L-AS-AP The Digital Lab 2007 Limited,120.11
55747,SIT-AS-AP Southern Institute of Technology,120.11
