ASnumber,AS_ID,AS_Organization,CO2_Intensity
266348,266348_,REDE UNICON,103.21
266366,266366_,GIGA NET TELECOMUNICACOES EIRELI - ME,103.21
266371,266371_,R7R - ME,103.21
266431,266431_,LITORAL TELECOM PROVEDOR DE INTERNET E SERVICOS LT,103.21
266432,266432_,Tribunal Regional Federal da 4ª Região,103.21
266487,266487_,ISM Telecom Eireli ME,103.21
266510,266510_,Open Computadores LTDA ME,103.21
266516,266516_,Naveganet Comercio e Serviços Eirele,103.21
266552,266552_,ADD TECNOLOGIA LTDA - ME,103.21
266604,266604_,COMPANHIA ENERGETICA DE MINAS GERAIS,103.21
266613,266613_,COMMTEL TRANSMISSAO DE DADOS E INTERNET LTDA,103.21
266632,266632_,Sul Internet Equipamentos de Informática Ltda ME,103.21
266914,266914_,Lary Net,103.21
266997,266997_,MPTEC INFORMATICA LTDA - ME,103.21
267020,267020_,VS COMUNICACAO E MULTIMIDIA LTDA,103.21
267031,267031_,DUNAS TELECOM,103.21
267096,267096_,HELLO WEB TELECOMUNICACOES E SERVICOS LTDA EPP,103.21
267132,267132_,CONECTA ELETRICIDADE E SERVICOS LTDA ME,103.21
267150,267150_,CLICK NET SOLUÇÕES EM INTERNET LTDA,103.21
267160,267160_,JARDIMNET SERVICOS DE INFORMATICA E REDES,103.21
267177,267177_,MYNET COMUNICAÇÕES,103.21
267199,267199_,REDEMETRO TELECOMUNICACOES LTDA,103.21
267225,267225_,Filhonet Telecomunicacoes Ltda - ME,103.21
267255,267255_,FRAPORT BRASIL S.A. AEROPORTO DE PORTO ALEGRE,103.21
267266,267266_,FRAPORT BRASIL S.A. AEROPORTO DE FORTALEZA,103.21
267345,267345_,BOM JESUS NET LTDA,103.21
267364,267364_,Ivo Rodrigues de Oliveira,103.21
267368,267368_,S & E SERVICOS DE INTERNET LTDA,103.21
267377,267377_,acesso net telecomunicacoes ltda-me,103.21
267390,267390_,POWERTEC TELECOMUNICACOES LTDA-ME,103.21
267410,267410_,2D TELECOM LTDA - ME,103.21
267422,267422_,ALMEIDASNET SERVICO DE INFORMATICA LTDA,103.21
267426,267426_,AQUI TELECOMUNICACOES LTDA - ME,103.21
267441,267441_,J BARBOSA SERVICOS DE COMUNICACAO MULTIMIDIA LTDA,103.21
267464,267464_,SMARTLINK TECNOLOGIA EM INTERNET LTDA ME,103.21
267498,267498_,VIDATEL SERVICOS CONVERGENTES EM TELECOMUNICACOES,103.21
267506,267506_,NETLUX Telecom,103.21
267546,267546_,GOIAS CONECT TELECOM EIRELI - ME,103.21
267550,267550_,Chip News Provedor de Internet Ltda,103.21
267589,267589_,SH TELECOM LTDA,103.21
267602,267602_,M2 ONLINE,103.21
267611,267611_,TECHNO BYTES TELECOM,103.21
267625,267625_,LD PRODUTOS DE INFORMATICA EIRELI - ME,103.21
267628,267628_,CLOVIS DA SILVA ALBUQUERQUE INTERNET - ME,103.21
267666,267666_,LOG LINK INFORMATICA LTDA - ME,103.21
267950,267950_,BRLINK SERVICOS DE TELECOMUNICACOES LTDA,103.21
267953,267953_,BNET SOLUÇÕES EM INTERNET LTDA-ME,103.21
267984,267984_,TRANSDADOS INTERNET EIRELI,103.21
268023,268023_,USONEX SERVICOS DE TELECOMUNICACOES LTDA,103.21
268101,268101_,MIO TELECOM LTDA,103.21
268129,268129_,TAI Telecom,103.21
268146,268146_,PKNET SERVICOS DE TELECOMUNICACOES LTDA,103.21
268149,268149_,3One Telecomunicações e Serviços - LTDA,103.21
268166,268166_,POINT TELECOM SERVIÇOS LTDA,103.21
268181,268181_,TELECOMUNICACOES JUPI LTDA,103.21
268210,268210_,WB TELECOM LTDA ME,103.21
268234,268234_,VNTFMAIS LTDA,103.21
268250,268250_,Arpa Telecom LTDA ME,103.21
268308,268308_,VIVA CONNECTION TELECOMUNICAÇÕES LTDA ME,103.21
268318,268318_,Ags Comunicação e Tecnologia Ltda ME,103.21
268325,268325_,MARIA DE LOURDES ZAMIAN PENASSO EQUIPAMENTO - ME,103.21
268331,268331_,LINK BARATO.COM TELECOMUNICACOES EIRELI,103.21
268388,268388_,ALVES & OLIVEIRA INFORMATICA LTDA - ME,103.21
268393,268393_,LINKTECH PROVEDOR DE INTERNET,103.21
268510,268510_,JS INTERNET,103.21
268513,268513_,RFC DE SOUZA LTDA,103.21
268519,268519_,master net ltda-me,103.21
268527,268527_,FIBER FAST PROVEDOR DE INTERNET E SERVICOS LTDA,103.21
268558,268558_,LANLINK INFORMATICA LTDA.,103.21
268563,268563_,LIGNET SERVICOS DE COMUNICACAO MULTIMIDIA EIRELI,103.21
268642,268642_,L & C TELECOMUNICACOES E SERVICOS LTDA,103.21
268647,268647_,DFLASH NET TELECOM E TURISMO LTDA,103.21
268695,268695_,DIGITAL NET TELECOM,103.21
268714,268714_,MURILLO AQUISANER VIEIRA,103.21
268755,268755_,Stok Info Telecom Ltda-me,103.21
268817,268817_,Acelera Telecom,103.21
268873,268873_,Luiza Maria de Souza Sindelar ME,103.21
268959,268959_,INOVANET EMPREENDIMENTOS LTDA,103.21
268969,268969_,MegaNet Telecom,103.21
269028,269028_,L 2 COMERCIO E SERVICOS DE INFORMATICA LTDA ME,103.21
269031,269031_,LIKE PROVEDOR DE INTERNET LTDA,103.21
269125,269125_,Netgaucha Servicos de Internet Eireli - ME,103.21
269132,269132_,Ministério Público do Estado do Espírito Santo,103.21
269177,269177_,NEUTRA TELECOMUNICACOES DO BRASIL LTDA,103.21
269186,269186_,LAN INTERNET TELECOM LTDA - ME,103.21
269261,269261_,NETMAXXI TELECOMUNICACOES E INFORMATICA LTDA EPP,103.21
269296,269296_,ONCLOUD TECNOLOGIA LTDA,103.21
269304,269304_,BAHIAWEB TECNOLOGIA LTDA,103.21
269319,269319_,PS TELECOM LTDA - ME,103.21
269330,269330_,BRAYANNET COMUNICACAO E MIDIA LTDA EPP,103.21
269333,269333_,Tecnosul Provedor de Internet Ltda,103.21
269380,269380_,UP LINK TELECOM,103.21
269411,269411_,G3LINK TELECOM SERVICO DE COMUNICACAO MULTIMIDIA,103.21
269501,269501_,ONETECH SERVICOS DE COMUNICACAO E MULTIMIDIA LTDA,103.21
269502,269502_,TECHNET COMUNICACAO MULTIMIDIA LTDA,103.21
269543,269543_,BCEC - BRASIL CENTRAL DE EDUCACAO E CULTURA SS,103.21
269547,269547_,TERALINK TELECOMUNICACOES EIRELI,103.21
269571,269571_,TEX TELECOM EIRELI,103.21
269644,269644_,FORMOSA INTERNET E TELECOMUNICAÇÕES LTDA,103.21
269648,269648_,Nova Wifi,103.21
269715,269715_,INFINITYGO TELECOM LTDA,103.21
270362,270362_,FIBERCOMP INTERNET,103.21
270365,270365_,Voicecorp Telecomunicações Ltda,103.21
270375,270375_,CONNECT TELECOM LTDA,103.21
270402,270402_,Davet Soluções em TI LTDA,103.21
270449,270449_,Geraldo Freire da Silva Júnior-ME,103.21
270488,270488_,DNS TELECOM LTDA,103.21
270498,270498_,ACCONECT TELECOM LTDA - ME,103.21
270500,270500_,F & L SERVICOS E TELECOMUNICAÇÕES EIRELI,103.21
270505,270505_,Ancora Telecom,103.21
270513,270513_,R J COMERCIO E SERVIÇOS DE COMUNICAÇA,103.21
270536,270536_,GNET SOLUCOES EM INFORMATICA EIRELI,103.21
270596,270596_,Rafael Olegario Silva De Lima Servico De Comunicac,103.21
270697,270697_,BTEC TELECOM EIRELI,103.21
270726,270726_,ULTRALAN - PROVEDOR DE INTERNET,103.21
270793,270793_,CONECTA TELECOM LTDA,103.21
270812,270812_,RizziNET Solucoes em Internet LTDA,103.21
270843,270843_,FCPI PROVEDORES DE INTERNET EIRELI,103.21
270872,270872_,BENTO BIDIO DAS NEVES,103.21
270890,270890_,INFOTEC NETWORKS,103.21
270946,270946_,PEDRO RANGEL REZENDE PEREIRA,103.21
270979,270979_,GIPTELECOM TELECOMUNICACAO E TECNOLOGIA DA INFORMA,103.21
270993,270993_,edilde menezes noronha,103.21
271005,271005_,K P SILVA TELECOM,103.21
271015,271015_,NET LESSA SERVICOS,103.21
271080,271080_,SPACE NET WORLD TELECOM,103.21
271179,271179_,OLIVEIRA & CARVALHO COMUNICACAO E MULTIMIDIA LTDA,103.21
271185,271185_,BRTELE TECNOLOGIA LTDA,103.21
271197,271197_,J. R. DOS SANTOS SERVIÇOS DE COMUNICAÇAO,103.21
271203,271203_,CampoNet Telecomunicacoes,103.21
271208,271208_,Stream Net,103.21
271211,271211_,DNET PROVEDOR DE INTERNET EIRELI,103.21
271218,271218_,AL TELECOM - TELECOMUNICAÇÕES LTDA,103.21
271328,271328_,RL QUEIROZ DA SILVA PROVEDOR DE INTERNET,103.21
271353,271353_,JJ PowerNet,103.21
271375,271375_,ZEEP INTERNET,103.21
271464,271464_,DistakNET Telecom,103.21
271480,271480_,CIANET DF SILVA MARTINS EIRELI ME,103.21
271498,271498_,ZEN INTERNET E TELECOMUNICACAO EIRELI,103.21
271549,271549_,NOVA UNIAO TELECOM LTDA,103.21
271597,271597_,NEW LINK CONNECT,103.21
271600,271600_,CONDE NET PB,103.21
271618,271618_,Virtual Revolution Fibra Telecomunicações LTDA,103.21
271624,271624_,LD TELECOM EIRELI,103.21
271635,271635_,SIMBR PARTICIPACOES LTDA,103.21
271680,271680_,STAFF DIGITAL INTERNET BANDA LARGA EIRELI,103.21
272226,272226_,ILHA CONNECT TELECOMUNICÕES LTDA,103.21
272542,272542_,LEANDRO A DE OLIVEIRA SILVA INTERNET EIRELI,103.21
272730,272730_,Wellington Paiva Damascena - ME,103.21
273378,273378_,CIRCULA NET LTDA,103.21
273463,273463_,A DO S OLIVEIRA CYBERDATA,103.21
273568,273568_,UNICA TELECOM LTDA,103.21
273664,273664_,NP SOLUCOES EM TI LTDA,103.21
273723,273723_,L.LOTIC SERVICOS DE TECNOLOGIA LTDA,103.21
273788,273788_,CATARATAS NET,103.21
19723,19723_,CIA. DE TECNOL. DA INFOR. E COMUNICAÇÃO DO PARANÁ,103.21
28582,28582_,COMPULAND INFORMATICA LTDA. M.E.,103.21
52633,52633_,MariluzNet Telecomunicações,103.21
52766,52766_,Printnet telecomunicaçoes,103.21
52845,,,103.21
52998,52998_,Fundacao Assis Gurgacz,103.21
61690,61690_,Central das Cooperativas de Credito do Estado do P,103.21
61762,61762_,CONECTABR SISTEMAS DE COMUNICAÇÕES LTDA,103.21
61771,61771_,JJPG - COMERCIO E SERVICOS DE INFORMATICA LTDA ME,103.21
262356,262356_,Gazin-Ind. e Com. de Moveis e Eletrodomesticos Ltd,103.21
262756,262756_,Ligga Telecomunicações S.A.,103.21
264102,264102_,Tribunal Regional do Trabalho 9ª Região,103.21
264587,264587_,L. MARCON - ME,103.21
264909,264909_,BRConnect Telecomunicacoes LTDA,103.21
264947,264947_,LUIZ LIMA E CIA LTDA - ME,103.21
265464,265464_,ESTACAONET TELECOM,103.21
267061,267061_,Microtec Telecomunicação Ltda - ME,103.21
267073,267073_,L A P JUNIOR EIRELI - ME,103.21
267104,267104_,A Solução Internet Banda Larga ltda me,103.21
267379,267379_,LFGUIMARÃES SERVIÇOSDE COMUNICAÇÃO MULTIMIDIA ME,103.21
267500,267500_,DIGITAL LIFE,103.21
268052,268052_,PAULO ROBERTO KRAVIECZ CARDOSO EIRELI,103.21
268443,268443_,GUILHERME ZANINELO MULTIMIDIA,103.21
268562,268562_,Anna Lais Nedochetko ME,103.21
268796,268796_,D.A.S PROVEDOR DE INTERNET FIBRA OTICA E BANDA,103.21
269011,269011_,NOX INFORMATICA EIRELI - ME,103.21
269067,269067_,RV - TELECOM LTDA ME,103.21
269195,269195_,J. CALUX & CIA LTDA,103.21
269318,269318_,VIRTUAL NETWORK TELECOM LTDA,103.21
269365,269365_,SEA FIBER TELECOMUNICACOES LTDA,103.21
270530,270530_,Companhia Paranaense de Energia - COPEL,103.21
271374,271374_,ASAP TELECOM LTDA,103.21
273816,273816_,UNOFIBRA TELECOMUNICACOES,103.21
274768,274768_,ULTRANET VALE DO RIBEIRA LTDA,103.21
14346,14346_,Agencia Estado Ltda,103.21
14886,14886_,Atos Origin Brasil Ltda,103.21
26592,26592_,EQUINIX BRASIL,103.21
27343,27343_MONSANTO-INET,Monsanto,103.21
52781,52781_,Pertec Servicos de Telecomunicacoes ltda,103.21
52820,52820_,Brasilfone S/A,103.21
53154,53154_,MCO2 Tecnologia,103.21
61797,61797_,CHECK-UP NET TELECOM,103.21
61826,61826_,Nethouse Telecom,103.21
61866,61866_,INTELBRAS S.A. INDUSTRIA DE TELECOMUNICACAO ELETRO,103.21
262380,262380_,Rontel LTDA,103.21
263004,263004_,Cassiano Zanon - CZNET Provedor de Internet,103.21
263033,263033_,LINKLI TELECOMUNICACOES LTDA,103.21
263363,263363_,RADLINK TELECOMUNICACOES LTDA,103.21
263390,263390_,FNT Telecomunicações e Acesso a Redes de Internet,103.21
263395,263395_,TINASNET SERVICOS E ACESSOS A INTERNET LTDA,103.21
263537,263537_,Via Fibra Internet Banda Larga EIRELI,103.21
264083,264083_,CONFEDERACAO BRASILEIRA DE FUTEBOL,103.21
264094,264094_,MARTIN-BROWER COMERCIO TRANSPORTES E SERVICOS LTDA,103.21
264138,264138_,LMS - LAST MILE SERVICES LTDA,103.21
264510,264510_,HNS SERVICOS DE TELECOMUNICACOES EIRELI,103.21
265969,265969_,FLAQUINET SERVICO DE COMUNICACAO MULTIMIDIA EIRELE,103.21
266474,266474_,KORE TM DATA PROCESSAMENTO DE DADOS LTDA.,103.21
267221,267221_,Gold Telecom Ltda,103.21
267578,267578_,WILLIAN MENDES DE OLIVEIRA ­ ME,103.21
267675,267675_,AKI NET TELECOM LTDA ME,103.21
268256,268256_,SINCH BR S/A,103.21
268537,268537_,TN FIBRA,103.21
268732,268732_,CONECTA SERVICO DE COMUNICACAO MULTIMIDIA LTDA,103.21
269048,269048_,MAN WEB HOSTING LTDA,103.21
269211,269211_,MUND NET TELECOMUNICAÇÕES LTDA ME,103.21
269668,269668_,NAZASEG TELECOM,103.21
270314,270314_,Nnumbers Tecnologia Ltda,103.21
270896,270896_,CARIOCA NET SERVICOS DE TELECOMUNICACOES LTDA,103.21
271227,271227_,TICWAY SOLUCOES EM TECNOLOGIA LTDA,103.21
271395,271395_,LINKCOM TELECOM SERVICOS E TELECOMUNICACAO EIRELI,103.21
273663,273663_,NT FIBRA,103.21
273765,273765_,RedLink Fibra,103.21
28127,28127_,Cambridge Telecomunicações Ltda.,103.21
28176,28176_,Quick Soft tecnologia da Informacao S.A,103.21
53044,53044_,DHL Logistcs Brasil Ltda.,103.21
61644,61644_,CNOVA COMERCIO ELETRONICO S.A.,103.21
262938,262938_,B3A COMUNICAÇÃO LTDA,103.21
264220,264220_,EQUINIX BRASIL,103.21
264901,264901_,Ailon Rodrigo Oliveira Lima ME,103.21
265353,265353_,LOUIS DREYFUS COMPANY BRASIL S.A.,103.21
266041,266041_,Tw-solutions telecomunicações Eireli - ME,103.21
268208,268208_,2CLOUD INFORMATICA LTDA EPP,103.21
268226,268226_,CLARANET TECHNOLOGY S.A.,103.21
270645,270645_,Alctel Telecomunicações e Informatica Ltda,103.21
18836,18836_,"TIVIT TERCEIRIZAÇÃO DE PROCESSOS, SERV. E TEC. S/A",103.21
262475,262475_,"TIVIT TERCEIRIZAÇÃO DE PROCESSOS, SERV. E TEC. S/A",103.21
263071,263071_,"TIVIT TERCEIRIZAÇÃO DE PROCESSOS, SERV. E TEC. S/A",103.21
264569,264569_,INTERNET SAT SERVICOS DE TELECOMUNICACOES LTDA - M,103.21
22055,22055_,Banco Central do Brasil,103.21
22129,22129_,Task Software Ltda,103.21
22341,22341_,RTM - Rede de Telecomunicações para o Mercado Ltda,103.21
27656,27656_,DCN Soluções em Tecnologia Ltda - EPP,103.21
28136,28136_,SPACnet - Projetos Avançados em Computação,103.21
28163,28163_,Cosmonline Informática Ltda,103.21
28243,28243_,FCA FIAT CHRYSLER AUTOMOVEIS BRASIL LTDA,103.21
28310,28310_,SMART TELECOMUNICACOES E SERVICOS LTDA.,103.21
28610,28610_,DEBIAN SIGNAL COMUNICAÇÃO MULTIMIDIA LTDA ME,103.21
28629,28629_,SENADO FEDERAL,103.21
28641,28641_,EBF VAZ INDUSTRIA E COMERCIO LTDA,103.21
52569,52569_,Tribunal Regional do Trabalho da 2a Regiao,103.21
52636,52636_,CESB-Centro de Educacao Superior de Brasilia LTDA,103.21
52649,52649_,Tribunal de Justica do Estado do Rio Grande do Sul,103.21
52684,52684_,SIMPLES COM SOLUÇÕES EM INTERNET LTDA.,103.21
52692,52692_,CARVALHO E SILVA LTDA,103.21
52737,52737_,Floriani Serviços de Telecomunicação Ltda ME,103.21
52752,52752_,Vegas Telecom Informática Ltda.,103.21
52755,52755_,U&M MINERACAO E CONSTRUCAO S/A,103.21
52765,52765_,MAXXNET TELECOM,103.21
52773,52773_,INTERMICRO INFORMATICA DE ITAPERUNA LTDA,103.21
52802,52802_,Linkmax Soluções de Acesso a Internet Ltda,103.21
52852,52852_,Last Mile Telecom,103.21
52910,52910_,A. Angeloni & Cia Ltda,103.21
52931,52931_,Netvip Telecomunicações Ltda,103.21
53006,53006_,ALGAR TELECOM S/A,103.21
53039,53039_,ABRIL COMUNICACOES S.A.,103.21
53147,53147_,FONTES SOLUCOES TECNOLOGICAS LTDA,103.21
53204,53204_,Parque Ecológico São Carlos / PMSC,103.21
53238,53238_,Chapeco Tecnologia em Telecomunicações Ltda.,103.21
61667,61667_,BISCHOFF & SILVA LTDA,103.21
61715,61715_,UP Brasil Administração e Serviços Ltda,103.21
61756,61756_,NETPONTAL PROVEDOR DE INTERNET LTDA - ME,103.21
61779,61779_,Prefeitura do Municipio de Piracicaba,103.21
61782,61782_,WNNet Telecom,103.21
61844,61844_,America-NET Ltda.,103.21
61894,61894_,FreeBSD Brasil LTDA,103.21
61929,61929_,RODRIGUES E NECKEL LTDA - ME,103.21
262294,262294_,Hard Web Wireless Comunicações Ltda.,103.21
262320,262320_,BANDA TURBO PROVEDORES DE INTERNET LTDA,103.21
262416,262416_,"KASPER, GOBBI E SOARES LTDA",103.21
262418,262418_,Indagraf Ltda,103.21
262438,262438_,VELOMAX TELECOM S/A,103.21
262442,262442_,Fundação Universidade de Itaúna,103.21
262595,262595_,OnNet Telecomunicacoes LTDA,103.21
262629,262629_,Cooper Card Instituição de Pagamento Ltda,103.21
262652,262652_,R4C Serviços de Informática Ltda,103.21
262745,,,103.21
262772,262772_,GTV Fibra,103.21
262779,262779_,Rede Exitus Ltda,103.21
262785,262785_,GIGA MAIS FIBRA TELECOMUNICACOES S.A. (CLICK),103.21
262814,262814_,ALGAR TECNOLOGIA E CONSULTORIA SA,103.21
262826,262826_,PW INFORMATICA E TECNOLOGIA LTDA,103.21
262836,262836_,ABC Net Telecomunicações e Tecnologia Ltda,103.21
262844,262844_,Turbonet Provedor Ltda,103.21
262869,262869_,G1Telecom Provedor de Internet LTDA ME,103.21
262878,262878_,Apn - Processamento de Dados e Soluçoes em Interne,103.21
263019,263019_,QUICKNET TELECOM LTDA,103.21
263058,263058_,Fast Network Provedor e Solucoes em Informatica LT,103.21
263094,263094_,Prefeitura Municipal de Foz do Iguaçu,103.21
263140,263140_,Net-Uai Internet Provider LTDA ME,103.21
263257,263257_,Unimed Regional Maringá,103.21
263279,263279_,PARKS SA Comunicações Digitais,103.21
263285,263285_,Tiago Silva Provedores ME,103.21
263307,263307_,ITSOnline Com. Ltda.,103.21
263312,263312_,BizPro Processos de Negócios Ltda.,103.21
263406,263406_,Procuradoria Geral de Justiça de Minas Gerais,103.21
263421,263421_,NR CONEXOES,103.21
263425,263425_,ANJO QUIMICA DO BRASIL LTDA,103.21
263456,263456_,MKNETWORK TELECOM LTDA ME,103.21
263458,263458_,ITRIX INTELIGENCIA E INTERNET,103.21
263488,263488_,APEC - ASSOCIACAO PARANAENSE DE ENSINO E CULTURA,103.21
263567,263567_,Loviz Entretenimento e Telecomunicacoes LTDA,103.21
263630,263630_,Cooperativa Central de Credito de Santa Catarina,103.21
263660,263660_,FEDERAÇÃO DAS INDÚSTRIAS DO ESTADO DE SC - FIESC,103.21
263670,263670_,Giassi & Cia Ltda,103.21
263675,263675_,NETWEB TELECOM LTDA,103.21
263891,263891_,TURBONET INFO E TELECOM,103.21
263892,263892_,Tribunal Regional Federal da Terceira Regiao,103.21
263909,263909_,Prefeitura Municipal de Santos,103.21
264023,264023_,SE77E TELECOM EIRELI ME,103.21
264037,264037_,Centrais Elétricas de Santa Catarina S.A,103.21
264044,264044_,BANCO CREDIT SUISSE (BRASIL) S.A,103.21
264061,264061_,Municipio de Caxias do Sul,103.21
264095,264095_,Saneamento de Goias S.A.,103.21
264117,264117_,Provedor Fibramais Ltda,103.21
264152,264152_,NETWORK DIGITAL LTDA,103.21
264164,264164_,Telecomunicações Netcoro Ltda,103.21
264274,264274_,DSP RS TELECOMUNICAÇÕES LTDA.,103.21
264312,264312_,Departamento de Polícia Rodoviária Federal,103.21
264324,264324_,GMAES TELECOM LTDA,103.21
264363,264363_,Unimed de Bauru - Cooperativa de Trabalho Medico,103.21
264421,264421_,BrumaNet Telecom,103.21
264440,264440_,POINT TELECOMUNICAÇÕES LTDA ME,103.21
264458,264458_,SMA Networks Informatica LTDA-ME,103.21
264469,264469_,CONSELHO DA JUSTICA FEDERAL,103.21
264506,264506_,SCGAS - Companhia de Gás de Santa Catarina,103.21
264534,264534_,"SPOT PROMOÇÕES, EVENTOS E MERCHAND LTDA",103.21
264550,264550_,M H SAT SERVIÇOS EM TELECOMUNICAÇÕES,103.21
264892,264892_,Gente Telecom do Brasil Eireli ME,103.21
264906,264906_,PLANET INTERNET,103.21
264916,264916_,BAHIA TRIBUNAL DE JUSTICA,103.21
264958,264958_,Expresso São Miguel S/A,103.21
264966,264966_,UNDERCORP TELECOM LTDA.,103.21
264978,264978_,severo e prado ltda,103.21
265020,265020_,FUNDACAO INST BRAS DE GEOGRAFIA E ESTATISTICA IBGE,103.21
265085,265085_,Linfortel Internet,103.21
265138,265138_,ACESSO.COM PROVEDOR DE INTERNET,103.21
265172,265172_,E. C. E. Telecomunicações LTDA,103.21
265190,265190_,Instituto Brasileiro de Planejamento Tributário,103.21
265213,265213_,BRUMART a sua internet,103.21
265236,265236_,Portobello S.A.,103.21
265310,265310_,"RETIS - REDES, TI E SEGURANCA LTDA - ME",103.21
265392,265392_,Cooperativa Regional Agropecuária de Campos Novos,103.21
265405,265405_,Imax Wireless Provedor de Internet Ltda,103.21
265426,265426_,SS TELECOM LTDA,103.21
265481,265481_,GM TELECOM E INFORMATICA LTDA ME,103.21
265988,265988_,DAITAN LABS SOLUCOES EM TECNOLOGIA SA,103.21
266373,266373_,Justica Federal de Primeiro Grau em Santa Catarina,103.21
266381,266381_,Galax Telecom,103.21
266403,266403_,Bom Link Net Trindade GO,103.21
266412,266412_,Farmabase Saude Animal Ltda.,103.21
266415,266415_,COMPANHIA BRASILEIRA DE METALURGIA E MINERACAO,103.21
266426,266426_,ICAP do Brasil CTVM LTDA,103.21
266455,266455_,SOFTMARKETING COMUNICACAO E INFORMACAO LTDA,103.21
266927,266927_,BINARIO CLOUD SER DE COMPUTACAO E INFORMATICA LTDA,103.21
266931,266931_,RE Servicos de Comunicacao Multimidia,103.21
267022,267022_,TG COMUNICACOES LTDA - ME,103.21
267070,267070_,Fibranet Juiz de Fora Serviços de Telecomunicações,103.21
267076,267076_,REDE MINEIRA DE TELECOMUNICAÇÕES LTDA,103.21
267079,267079_,MUNDO ONLINE,103.21
267089,267089_,GSM ENGENHARIA EM TECNOLOGIA DA INFORMACAO EIRELI,103.21
267207,267207_,RFTecnologia Teleinformática Ltda-ME,103.21
267219,267219_,Netware Telecomunicações e Informática EIRELI,103.21
267281,267281_,GIGANET TELECOM LTDA-ME,103.21
267300,267300_,Cooperativa de Producao e Consumo Concordia Ltda.,103.21
267302,267302_,ASSOC. USU. SIST. TELEC. AFINS DO CENTRO EMPRES SP,103.21
267389,267389_,5GNET INTERNET,103.21
267392,267392_,RIO GRANDE DO SUL PROCURADORIA GERAL DE JUSTICA,103.21
267552,267552_,Turbonet Telecom Ltda ME,103.21
267568,267568_,R. C. F. ­ TELECOM LTDA ­ ME,103.21
267957,267957_,NITRO TELECOM,103.21
267969,267969_,AAM BOLDRINI TELECOM,103.21
267999,267999_,Paulo A Bispo da Silva Inf . ME,103.21
268015,268015_,MUNICIPIO DE VITORIA,103.21
268075,268075_,FABIANA CRISTINA MOREIRA,103.21
268098,268098_,BRASIL INFORMATICA LTDA EPP,103.21
268123,268123_,INOVA TELECOMUNICAÇÕES EIRELI,103.21
268165,268165_,E C SATURNINO DE LIMA,103.21
268178,268178_,TRIBUNAL DE JUSTIÇA DO ESTADO DE ALAGOAS,103.21
268191,268191_,MARTINS TELECOM,103.21
268195,268195_,LINK FLY TELECOM LTDA - ME,103.21
268289,268289_,AUDICOM TECNOLOGIA E TELECOM LTDA,103.21
268313,268313_,Fernandes & Rodrigues Consultores Associados,103.21
268389,268389_,SPEEDNET FRUTAL INTERNET,103.21
268399,268399_,ARAUJO & SILVA - ME,103.21
268490,268490_,A.I.P. INTERNET,103.21
268494,268494_,TURBO NET TELECOMUNICAÇÃO LTDA ME,103.21
268506,268506_,LEON TELECOM LTDA,103.21
268507,268507_,Prefeitura de Balneário Camboriú,103.21
268515,268515_,SANTOS FERREIRA S F LTDA,103.21
268541,268541_,Skyturbo Telecom,103.21
268576,268576_,CONECT TELECOM LTDA - ME,103.21
268579,268579_,WING NET TECNOLOGIA E SERVICOS LTDA,103.21
268594,268594_,FAP Internet,103.21
268690,268690_,SOS WIFI PROVEDORES LTDA ME,103.21
268704,268704_,PERNAMBUCO TELECOM LTDA,103.21
268786,268786_,LINE FIBRA TELECOM LTDA,103.21
268812,268812_,BATISTA E SANTOS LTDA,103.21
268824,268824_,CONNECTMAX TELECOM,103.21
268868,268868_,INTERSERV TELECOM - EIRELI,103.21
268870,268870_,EXATA TECNOLOGIA DA INFORMACAO LTDA. - EPP,103.21
269129,269129_,ClickTek Telecom,103.21
269168,269168_,NEWSIGNAL INTERNET E TECNOLOGIA,103.21
269182,269182_,PLUGAR TELECOM,103.21
269267,269267_,ProLink Internet Fibra,103.21
269272,269272_,NEWNET TECNOLOGIA E PROJETOS LTDA,103.21
269283,269283_,Ismael Leonardo da Silva,103.21
269293,269293_,Goldfibra Telecomunicaçoes ltda.,103.21
269316,269316_,ROBOT BEST NET TEC. E SERVICOS EIRELI,103.21
269352,269352_,NETCENTER TELECOM,103.21
269389,269389_,MundialNet Telecom,103.21
269406,269406_,Secretaria De Estado De Fazenda De Minas Gerais,103.21
269464,269464_,NET FIBRA MAIS LTDA,103.21
269505,269505_,Paranet Telecom Eireli ME,103.21
269512,269512_,LM-NET TELECOM,103.21
269513,269513_,aladusnet informatica e telecomunicaçao ltda - me,103.21
269601,269601_,LAINFORMATICA LTDA ME,103.21
269642,269642_,MILENIUM TELECOMUNICACOES LTDA ME,103.21
269672,269672_,RAUL GONcALO LEITE,103.21
269677,269677_,Gerson Cerqueira,103.21
269716,269716_,PDTec SA,103.21
270410,270410_,Infosimples Ltda.,103.21
270450,270450_,CENTER INFORMATICA EIRELI - ME,103.21
270511,270511_,Ultra Cabo,103.21
270518,270518_,Atec Informatica Telecom Martinez e Rocha LTDA,103.21
270548,270548_,AGI TELECOM LTDA,103.21
270595,270595_,LIGO FIBRA,103.21
270664,270664_,A K C PROV DE ACESSO AS REDES DE TEL. E INF EIRELI,103.21
270788,270788_,PLAY NET PROVEDOR DE INTERNET LTDA,103.21
270806,270806_,LUCIANO SCHIEFELBEIN ELICKER & CIA LTDA - ME,103.21
270967,270967_,T S MONTENEGRO SERVICOS DE TI LTDA,103.21
